# 2026-09-01 sweep3: goal-field + chain floor (worktree 5d9f95c), lexicographic comparator, one direction
# machine: user PC (Win11), index: .data/galaxy (v3 + agg/graph/alt sidecars)
# ships: explorer=Caspian MkII 77.81x6, mandalay=77.86x4, explorer86=Caspian eng. 86x6; budgets 30s (60s crossings)
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,223,
Wongi,Spase AA-A a108-0,mandalay,175,157,40,256,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,245,
Sol,Byoomao AA-A c1,explorer,64,61,9,287,
Sol,Byoomao AA-A c1,mandalay,107,95,32,330,
Sol,Byoomao AA-A c1,explorer86,59,56,8,282,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,414,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,63,57,11,276,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,2,570,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,181,
Wongi,Plielou RN-R d5-27,mandalay,62,50,19,225,
Wongi,Plielou RN-R d5-27,explorer86,32,29,6,211,
Wongi,Colonia,explorer,57,54,10,839,
Wongi,Colonia,mandalay,93,84,27,741,
Wongi,Colonia,explorer86,52,49,8,732,
Sol,Sagittarius A*,explorer,69,64,7,530,
Sol,Sagittarius A*,mandalay,114,99,32,2915,
Sol,Sagittarius A*,explorer86,62,58,8,692,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,720,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,229,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,217,
Wongi,Beagle Point,explorer,215,169,61,18189,
Wongi,Beagle Point,mandalay,343,232,143,54944,
Wongi,Beagle Point,explorer86,178,148,44,812,
Colonia,Spase AA-A a108-0,explorer,91,79,9,988,
Colonia,Spase AA-A a108-0,mandalay,248,100,81,16777,
Colonia,Spase AA-A a108-0,explorer86,90,80,12,1121,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,1064,one basic injection
