# 2026-09-01 sweep5: same build as sweep4, BOTH directions; Oevasy mandalay rows hardcoded (item-15 budget hole, fixed after this sweep)
# machine: user PC (Win11), index: .data/galaxy (v3 + agg/graph/alt sidecars)
# ships: explorer=Caspian MkII 77.81x6, mandalay=77.86x4, explorer86=Caspian eng. 86x6; budgets 30s (60s crossings)
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,227,
Wongi,Spase AA-A a108-0,mandalay,175,157,40,250,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,246,
Spase AA-A a108-0,Wongi,explorer,102,100,12,281,
Spase AA-A a108-0,Wongi,mandalay,168,159,36,545,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,410,
Sol,Byoomao AA-A c1,explorer,64,61,9,274,
Sol,Byoomao AA-A c1,mandalay,107,95,32,378,
Sol,Byoomao AA-A c1,explorer86,59,56,8,325,
Byoomao AA-A c1,Sol,explorer,62,61,5,709,
Byoomao AA-A c1,Sol,mandalay,106,98,20,857,
Byoomao AA-A c1,Sol,explorer86,58,56,7,753,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,457,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,63,57,11,312,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,2,600,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,345,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,65,56,12,328,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,387,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,203,
Wongi,Plielou RN-R d5-27,mandalay,62,50,19,255,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,236,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,328,
Plielou RN-R d5-27,Wongi,mandalay,66,54,14,437,
Plielou RN-R d5-27,Wongi,explorer86,33,28,3,313,
Wongi,Colonia,explorer,58,55,6,1023,
Wongi,Colonia,mandalay,95,86,23,748,
Wongi,Colonia,explorer86,52,49,8,767,
Colonia,Wongi,explorer,55,54,11,906,
Colonia,Wongi,mandalay,91,85,18,569,
Colonia,Wongi,explorer86,49,48,5,896,
Sol,Sagittarius A*,explorer,69,64,7,596,
Sol,Sagittarius A*,mandalay,114,99,32,3650,
Sol,Sagittarius A*,explorer86,63,60,7,817,
Sagittarius A*,Sol,explorer,73,65,16,1526,
Sagittarius A*,Sol,mandalay,114,102,30,1552,
Sagittarius A*,Sol,explorer86,65,60,10,1155,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,745,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,285,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,229,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,5,520,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,689,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,582,
Wongi,Beagle Point,explorer,215,169,61,19592,
Wongi,Beagle Point,mandalay,347,235,136,59507,
Wongi,Beagle Point,explorer86,178,148,44,820,
Beagle Point,Wongi,explorer,196,167,43,803,
Beagle Point,Wongi,mandalay,325,254,107,997,
Beagle Point,Wongi,explorer86,171,148,37,760,
Colonia,Spase AA-A a108-0,explorer,91,79,9,1115,
Colonia,Spase AA-A a108-0,mandalay,293,79,53,18360,
Colonia,Spase AA-A a108-0,explorer86,90,80,12,1178,
Spase AA-A a108-0,Colonia,explorer,107,93,8,43118,
Spase AA-A a108-0,Colonia,mandalay,231,104,65,33098,
Spase AA-A a108-0,Colonia,explorer86,96,86,12,9013,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,1064,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,610,one basic injection
