# 2026-09-02 sweep12: credibility floor slack 1.4 -> 1.25 (v3 verdict, commit pending), thorough, both directions
# machine: user PC (Win11), index: .data/galaxy (v3 sidecars, honest edges)
# ships: explorer=Caspian MkII 77.81x6, mandalay=77.86x4, explorer86=Caspian eng. 86x6; budgets 30s (60s crossings)
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,243,
Wongi,Spase AA-A a108-0,mandalay,175,157,40,335,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,268,
Spase AA-A a108-0,Wongi,explorer,102,100,12,246,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,465,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,285,
Sol,Byoomao AA-A c1,explorer,66,63,8,365,
Sol,Byoomao AA-A c1,mandalay,108,95,31,382,
Sol,Byoomao AA-A c1,explorer86,59,56,8,391,
Byoomao AA-A c1,Sol,explorer,62,61,5,636,
Byoomao AA-A c1,Sol,mandalay,106,98,20,813,
Byoomao AA-A c1,Sol,explorer86,55,54,5,707,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,364,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,65,57,9,290,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,2,460,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,326,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,62,55,11,326,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,309,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,230,
Wongi,Plielou RN-R d5-27,mandalay,66,53,16,244,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,236,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,267,
Plielou RN-R d5-27,Wongi,mandalay,64,53,14,599,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,237,
Wongi,Colonia,explorer,58,55,6,915,
Wongi,Colonia,mandalay,93,84,23,784,
Wongi,Colonia,explorer86,52,49,8,822,
Colonia,Wongi,explorer,54,53,6,960,
Colonia,Wongi,mandalay,91,85,18,853,
Colonia,Wongi,explorer86,49,48,5,904,
Sol,Sagittarius A*,explorer,69,64,7,1091,
Sol,Sagittarius A*,mandalay,114,99,32,5939,
Sol,Sagittarius A*,explorer86,63,60,7,948,
Sagittarius A*,Sol,explorer,75,66,13,2316,
Sagittarius A*,Sol,mandalay,112,100,28,1880,
Sagittarius A*,Sol,explorer86,64,59,9,1251,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,775,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,274,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,315,
Blaa Hypai AA-A a96-19,Wongi,explorer,37,35,4,217,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,649,
Blaa Hypai AA-A a96-19,Wongi,explorer86,33,32,4,207,
Wongi,Beagle Point,explorer,193,169,42,17836,
Wongi,Beagle Point,mandalay,363,260,113,60030,
Wongi,Beagle Point,explorer86,170,154,29,972,
Beagle Point,Wongi,explorer,196,167,43,833,
Beagle Point,Wongi,mandalay,313,246,111,921,
Beagle Point,Wongi,explorer86,170,149,36,852,
Colonia,Spase AA-A a108-0,explorer,90,80,10,1030,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,12699,
Colonia,Spase AA-A a108-0,explorer86,86,77,8,1244,
Spase AA-A a108-0,Colonia,explorer,94,81,10,1397,
Spase AA-A a108-0,Colonia,mandalay,166,135,33,17387,
Spase AA-A a108-0,Colonia,explorer86,87,76,11,25521,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,30056,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,603,one basic injection
