# 2026-09-02 sweep13: route_score recalibrated to the journal-fit seconds model (ea2b641), thorough, both directions
# judging: jumps x 70 s + stops x 36 s + tonnes/scoop-rate (journal-fit; was flat 40/120)
# ships: explorer=Caspian MkII 77.81x6, mandalay=77.86x4, explorer86=Caspian eng. 86x6; budgets 30s (60s crossings)
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,241,
Wongi,Spase AA-A a108-0,mandalay,175,158,40,295,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,264,
Spase AA-A a108-0,Wongi,explorer,102,100,12,245,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,453,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,283,
Sol,Byoomao AA-A c1,explorer,64,61,9,375,
Sol,Byoomao AA-A c1,mandalay,107,95,32,349,
Sol,Byoomao AA-A c1,explorer86,59,56,8,398,
Byoomao AA-A c1,Sol,explorer,62,61,5,651,
Byoomao AA-A c1,Sol,mandalay,101,93,26,1048,
Byoomao AA-A c1,Sol,explorer86,55,54,5,705,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,361,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,63,57,11,294,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,3,464,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,325,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,62,55,11,315,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,321,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,205,
Wongi,Plielou RN-R d5-27,mandalay,62,51,19,220,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,249,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,259,
Plielou RN-R d5-27,Wongi,mandalay,58,50,17,600,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,238,
Wongi,Colonia,explorer,58,55,6,1319,
Wongi,Colonia,mandalay,93,84,23,823,
Wongi,Colonia,explorer86,52,49,8,825,
Colonia,Wongi,explorer,54,53,6,974,
Colonia,Wongi,mandalay,86,81,25,905,
Colonia,Wongi,explorer86,49,48,5,919,
Sol,Sagittarius A*,explorer,69,64,7,1090,
Sol,Sagittarius A*,mandalay,114,99,32,5195,
Sol,Sagittarius A*,explorer86,62,58,8,797,
Sagittarius A*,Sol,explorer,73,65,16,2212,
Sagittarius A*,Sol,mandalay,112,100,28,1882,
Sagittarius A*,Sol,explorer86,64,59,9,1239,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,769,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,279,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,317,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,5,208,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,672,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,209,
Wongi,Beagle Point,explorer,193,169,42,60052,
Wongi,Beagle Point,mandalay,336,230,145,55059,
Wongi,Beagle Point,explorer86,170,154,29,977,
Beagle Point,Wongi,explorer,196,167,43,837,
Beagle Point,Wongi,mandalay,325,254,107,845,
Beagle Point,Wongi,explorer86,170,149,36,836,
Colonia,Spase AA-A a108-0,explorer,90,80,10,1044,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,12582,
Colonia,Spase AA-A a108-0,explorer86,84,76,10,1260,
Spase AA-A a108-0,Colonia,explorer,94,81,10,1384,
Spase AA-A a108-0,Colonia,mandalay,166,135,33,17117,
Spase AA-A a108-0,Colonia,explorer86,87,76,11,24332,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,11592,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,604,one basic injection
