# 2026-09-02 sweep14: afea626 pin verification (item 20 defaults) — 54/56 byte-identical, 2 Beagle-M cap-flicker cells
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,254,
Wongi,Spase AA-A a108-0,mandalay,175,158,40,314,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,309,
Spase AA-A a108-0,Wongi,explorer,102,100,12,271,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,444,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,281,
Sol,Byoomao AA-A c1,explorer,64,61,9,355,
Sol,Byoomao AA-A c1,mandalay,107,95,32,372,
Sol,Byoomao AA-A c1,explorer86,59,56,8,376,
Byoomao AA-A c1,Sol,explorer,62,61,5,636,
Byoomao AA-A c1,Sol,mandalay,101,93,26,1008,
Byoomao AA-A c1,Sol,explorer86,55,54,5,698,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,361,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,63,57,11,292,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,3,453,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,319,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,62,55,11,318,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,309,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,204,
Wongi,Plielou RN-R d5-27,mandalay,62,51,19,225,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,237,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,257,
Plielou RN-R d5-27,Wongi,mandalay,58,50,17,612,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,233,
Wongi,Colonia,explorer,58,55,6,1324,
Wongi,Colonia,mandalay,93,84,23,789,
Wongi,Colonia,explorer86,52,49,8,827,
Colonia,Wongi,explorer,54,53,6,976,
Colonia,Wongi,mandalay,86,81,25,856,
Colonia,Wongi,explorer86,49,48,5,923,
Sol,Sagittarius A*,explorer,69,64,7,1096,
Sol,Sagittarius A*,mandalay,114,99,32,5035,
Sol,Sagittarius A*,explorer86,62,58,8,782,
Sagittarius A*,Sol,explorer,73,65,16,2247,
Sagittarius A*,Sol,mandalay,112,100,28,1856,
Sagittarius A*,Sol,explorer86,64,59,9,1204,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,774,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,272,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,313,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,5,215,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,638,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,204,
Wongi,Beagle Point,explorer,193,169,42,60054,
Wongi,Beagle Point,mandalay,342,246,133,55179,
Wongi,Beagle Point,explorer86,170,154,29,978,
Beagle Point,Wongi,explorer,196,167,43,852,
Beagle Point,Wongi,mandalay,313,246,111,1397,
Beagle Point,Wongi,explorer86,170,149,36,851,
Colonia,Spase AA-A a108-0,explorer,90,80,10,1087,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,12880,
Colonia,Spase AA-A a108-0,explorer86,84,76,10,1290,
Spase AA-A a108-0,Colonia,explorer,94,81,10,1394,
Spase AA-A a108-0,Colonia,mandalay,166,135,33,17370,
Spase AA-A a108-0,Colonia,explorer86,87,76,11,24039,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,30054,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,605,one basic injection
