# 2026-09-02 sweep15: field floor slack 1.10 -> 1.04 gauntlet (v4 verdict, db64bee) — CS-back E 94/10 -> 90/12, rest identical
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,260,
Wongi,Spase AA-A a108-0,mandalay,175,158,40,305,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,275,
Spase AA-A a108-0,Wongi,explorer,102,100,12,251,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,459,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,292,
Sol,Byoomao AA-A c1,explorer,64,61,9,375,
Sol,Byoomao AA-A c1,mandalay,107,95,32,384,
Sol,Byoomao AA-A c1,explorer86,59,56,8,394,
Byoomao AA-A c1,Sol,explorer,62,61,5,681,
Byoomao AA-A c1,Sol,mandalay,101,93,26,1035,
Byoomao AA-A c1,Sol,explorer86,55,54,5,715,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,386,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,63,57,11,290,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,3,475,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,332,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,62,55,11,333,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,308,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,206,
Wongi,Plielou RN-R d5-27,mandalay,62,51,19,234,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,239,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,275,
Plielou RN-R d5-27,Wongi,mandalay,58,50,17,615,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,237,
Wongi,Colonia,explorer,58,55,6,1377,
Wongi,Colonia,mandalay,93,84,23,810,
Wongi,Colonia,explorer86,52,49,8,828,
Colonia,Wongi,explorer,54,53,6,983,
Colonia,Wongi,mandalay,86,81,25,884,
Colonia,Wongi,explorer86,49,48,5,934,
Sol,Sagittarius A*,explorer,69,64,7,1121,
Sol,Sagittarius A*,mandalay,114,99,32,4873,
Sol,Sagittarius A*,explorer86,62,58,8,807,
Sagittarius A*,Sol,explorer,73,65,16,2184,
Sagittarius A*,Sol,mandalay,112,100,28,1925,
Sagittarius A*,Sol,explorer86,64,59,9,1273,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,777,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,276,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,320,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,5,214,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,668,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,215,
Wongi,Beagle Point,explorer,193,169,42,60051,
Wongi,Beagle Point,mandalay,342,246,133,52974,
Wongi,Beagle Point,explorer86,170,154,29,989,
Beagle Point,Wongi,explorer,196,167,43,842,
Beagle Point,Wongi,mandalay,325,254,107,843,
Beagle Point,Wongi,explorer86,170,149,36,836,
Colonia,Spase AA-A a108-0,explorer,90,80,10,1077,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,12840,
Colonia,Spase AA-A a108-0,explorer86,84,76,10,1310,
Spase AA-A a108-0,Colonia,explorer,90,79,12,5171,
Spase AA-A a108-0,Colonia,mandalay,166,135,33,17487,
Spase AA-A a108-0,Colonia,explorer86,87,76,11,24383,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,11826,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,608,one basic injection
