# 2026-09-02 sweep16: 24c on-ramp seed v3 (contrast gate only) — REJECTED: 23 route changes, reproducible losses (Wongi->Spase E +6 stops, CS e86 +12 j via early wave exit, Pheia->Spase E +4 stops)
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,103,98,16,300,
Wongi,Spase AA-A a108-0,mandalay,175,159,38,308,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,270,
Spase AA-A a108-0,Wongi,explorer,102,100,12,257,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,463,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,289,
Sol,Byoomao AA-A c1,explorer,64,61,9,364,
Sol,Byoomao AA-A c1,mandalay,108,95,31,369,
Sol,Byoomao AA-A c1,explorer86,59,56,8,390,
Byoomao AA-A c1,Sol,explorer,62,61,6,680,
Byoomao AA-A c1,Sol,mandalay,104,96,21,992,
Byoomao AA-A c1,Sol,explorer86,56,55,5,698,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,36,5,370,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,62,58,11,296,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,32,31,4,466,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,331,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,60,55,10,333,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,313,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,204,
Wongi,Plielou RN-R d5-27,mandalay,62,51,19,228,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,235,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,264,
Plielou RN-R d5-27,Wongi,mandalay,58,50,17,588,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,238,
Wongi,Colonia,explorer,58,55,6,1303,
Wongi,Colonia,mandalay,93,84,23,812,
Wongi,Colonia,explorer86,52,49,8,828,
Colonia,Wongi,explorer,54,53,6,987,
Colonia,Wongi,mandalay,86,81,25,901,
Colonia,Wongi,explorer86,49,48,5,921,
Sol,Sagittarius A*,explorer,67,64,7,598,
Sol,Sagittarius A*,mandalay,112,100,30,4068,
Sol,Sagittarius A*,explorer86,62,59,8,862,
Sagittarius A*,Sol,explorer,72,64,15,2231,
Sagittarius A*,Sol,mandalay,111,98,30,1962,
Sagittarius A*,Sol,explorer86,64,59,10,1256,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,774,
Wongi,Blaa Hypai AA-A a96-19,mandalay,62,53,20,283,
Wongi,Blaa Hypai AA-A a96-19,explorer86,34,31,4,324,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,6,211,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,643,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,209,
Wongi,Beagle Point,explorer,192,168,39,18583,
Wongi,Beagle Point,mandalay,347,247,138,54880,
Wongi,Beagle Point,explorer86,170,154,29,985,
Beagle Point,Wongi,explorer,196,167,43,842,
Beagle Point,Wongi,mandalay,313,246,111,1391,
Beagle Point,Wongi,explorer86,170,149,36,824,
Colonia,Spase AA-A a108-0,explorer,90,80,10,1016,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,12553,
Colonia,Spase AA-A a108-0,explorer86,84,76,10,1251,
Spase AA-A a108-0,Colonia,explorer,89,80,8,4406,
Spase AA-A a108-0,Colonia,mandalay,166,135,33,17178,
Spase AA-A a108-0,Colonia,explorer86,99,83,11,6929,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,30056,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,605,one basic injection
