# 2026-09-02 sweep17: 24c seed shipped gates (no-field branch + contrast 3x + goal-gradient 2x) — 56/60 identical; wins Sol E 69/7->67/7 (wall -44%), Sol M 114/32->112/30, Spase->Pheia M 62/11->60/10, Wongi->Beagle E wall 60->17.7 s route-identical; one cost Sol->Byoomao M +44 s (108/31 vs 107/32, x2 reproducible)
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,244,
Wongi,Spase AA-A a108-0,mandalay,175,158,40,307,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,268,
Spase AA-A a108-0,Wongi,explorer,102,100,12,248,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,459,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,285,
Sol,Byoomao AA-A c1,explorer,64,61,9,359,
Sol,Byoomao AA-A c1,mandalay,108,95,31,372,
Sol,Byoomao AA-A c1,explorer86,59,56,8,383,
Byoomao AA-A c1,Sol,explorer,62,61,5,667,
Byoomao AA-A c1,Sol,mandalay,101,93,26,1035,
Byoomao AA-A c1,Sol,explorer86,55,54,5,717,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,361,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,63,57,11,293,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,3,455,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,316,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,60,55,10,317,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,323,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,206,
Wongi,Plielou RN-R d5-27,mandalay,62,51,19,226,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,238,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,261,
Plielou RN-R d5-27,Wongi,mandalay,58,50,17,597,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,235,
Wongi,Colonia,explorer,58,55,6,1317,
Wongi,Colonia,mandalay,93,84,23,795,
Wongi,Colonia,explorer86,52,49,8,833,
Colonia,Wongi,explorer,54,53,6,1010,
Colonia,Wongi,mandalay,86,81,25,905,
Colonia,Wongi,explorer86,49,48,5,893,
Sol,Sagittarius A*,explorer,67,64,7,623,
Sol,Sagittarius A*,mandalay,112,100,30,4060,
Sol,Sagittarius A*,explorer86,62,59,8,851,
Sagittarius A*,Sol,explorer,73,65,16,2232,
Sagittarius A*,Sol,mandalay,112,100,28,1877,
Sagittarius A*,Sol,explorer86,64,59,9,1246,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,776,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,280,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,328,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,5,207,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,656,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,212,
Wongi,Beagle Point,explorer,193,169,42,17876,
Wongi,Beagle Point,mandalay,342,246,133,54498,
Wongi,Beagle Point,explorer86,170,154,29,993,
Beagle Point,Wongi,explorer,196,167,43,839,
Beagle Point,Wongi,mandalay,325,254,107,892,
Beagle Point,Wongi,explorer86,170,149,36,838,
Colonia,Spase AA-A a108-0,explorer,90,80,10,1038,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,12834,
Colonia,Spase AA-A a108-0,explorer86,84,76,10,1253,
Spase AA-A a108-0,Colonia,explorer,90,79,12,4968,
Spase AA-A a108-0,Colonia,mandalay,166,135,33,17589,
Spase AA-A a108-0,Colonia,explorer86,87,76,11,24993,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,11260,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,602,one basic injection
