# 2026-09-02 sweep18: item 23 off-ramp portfolio twins (kind 4, ceiling-armed) vs sweep17 — 56/60 identical; wins Wongi->Beagle M 342/133->329/115 (x2, ~45 min pilot), Colonia->Spase E 90/10->89/9, Pheia->Spase M 63/11->63/10; SagA*->Sol E 73/16->72/18 scores 6235 vs 6239 (fitted-seconds win, x2)
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,254,
Wongi,Spase AA-A a108-0,mandalay,175,158,40,325,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,286,
Spase AA-A a108-0,Wongi,explorer,102,100,12,251,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,470,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,291,
Sol,Byoomao AA-A c1,explorer,64,61,9,373,
Sol,Byoomao AA-A c1,mandalay,108,95,31,380,
Sol,Byoomao AA-A c1,explorer86,59,56,8,405,
Byoomao AA-A c1,Sol,explorer,62,61,5,661,
Byoomao AA-A c1,Sol,mandalay,101,93,26,1050,
Byoomao AA-A c1,Sol,explorer86,55,54,5,719,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,375,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,63,58,10,295,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,3,478,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,327,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,60,55,10,327,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,326,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,215,
Wongi,Plielou RN-R d5-27,mandalay,62,51,19,236,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,247,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,261,
Plielou RN-R d5-27,Wongi,mandalay,58,50,17,616,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,240,
Wongi,Colonia,explorer,58,55,6,1373,
Wongi,Colonia,mandalay,93,84,23,829,
Wongi,Colonia,explorer86,52,49,8,857,
Colonia,Wongi,explorer,54,53,6,1018,
Colonia,Wongi,mandalay,86,81,25,953,
Colonia,Wongi,explorer86,49,48,5,957,
Sol,Sagittarius A*,explorer,67,64,7,649,
Sol,Sagittarius A*,mandalay,112,100,30,4233,
Sol,Sagittarius A*,explorer86,62,59,8,870,
Sagittarius A*,Sol,explorer,72,64,18,2417,
Sagittarius A*,Sol,mandalay,112,100,28,2071,
Sagittarius A*,Sol,explorer86,64,59,9,1333,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,783,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,291,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,326,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,5,218,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,697,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,215,
Wongi,Beagle Point,explorer,193,169,42,17666,
Wongi,Beagle Point,mandalay,329,255,115,60027,
Wongi,Beagle Point,explorer86,170,154,29,1020,
Beagle Point,Wongi,explorer,196,167,43,868,
Beagle Point,Wongi,mandalay,325,254,107,858,
Beagle Point,Wongi,explorer86,170,149,36,859,
Colonia,Spase AA-A a108-0,explorer,89,79,9,1094,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,12842,
Colonia,Spase AA-A a108-0,explorer86,84,76,10,1279,
Spase AA-A a108-0,Colonia,explorer,90,79,12,5299,
Spase AA-A a108-0,Colonia,mandalay,166,135,33,17682,
Spase AA-A a108-0,Colonia,explorer86,87,76,11,26576,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,11978,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,606,one basic injection
