# 2026-09-02 sweep19: honest wave-cost estimate (x4 first escalation, x6 deeper; was x3 flat) vs sweep18 — 59/60 identical; Wongi->Beagle M wall 60->12.1 s route-identical (E already 17.2 s post-twins); Beagle->Wongi M rolled 325->313 within its documented flicker band; Oevasy e86 injection-cell wobble (separate ledgered item)
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,248,
Wongi,Spase AA-A a108-0,mandalay,175,158,40,327,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,293,
Spase AA-A a108-0,Wongi,explorer,102,100,12,258,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,465,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,295,
Sol,Byoomao AA-A c1,explorer,64,61,9,381,
Sol,Byoomao AA-A c1,mandalay,108,95,31,387,
Sol,Byoomao AA-A c1,explorer86,59,56,8,408,
Byoomao AA-A c1,Sol,explorer,62,61,5,647,
Byoomao AA-A c1,Sol,mandalay,101,93,26,1059,
Byoomao AA-A c1,Sol,explorer86,55,54,5,712,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,377,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,63,58,10,303,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,3,454,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,331,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,60,55,10,328,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,318,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,212,
Wongi,Plielou RN-R d5-27,mandalay,62,51,19,233,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,243,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,267,
Plielou RN-R d5-27,Wongi,mandalay,58,50,17,637,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,242,
Wongi,Colonia,explorer,58,55,6,1351,
Wongi,Colonia,mandalay,93,84,23,814,
Wongi,Colonia,explorer86,52,49,8,850,
Colonia,Wongi,explorer,54,53,6,996,
Colonia,Wongi,mandalay,86,81,25,886,
Colonia,Wongi,explorer86,49,48,5,936,
Sol,Sagittarius A*,explorer,67,64,7,666,
Sol,Sagittarius A*,mandalay,112,100,30,3954,
Sol,Sagittarius A*,explorer86,62,59,8,877,
Sagittarius A*,Sol,explorer,72,64,18,2391,
Sagittarius A*,Sol,mandalay,112,100,28,2031,
Sagittarius A*,Sol,explorer86,64,59,9,1310,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,779,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,299,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,328,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,5,212,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,686,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,217,
Wongi,Beagle Point,explorer,193,169,42,17112,
Wongi,Beagle Point,mandalay,329,255,115,12108,
Wongi,Beagle Point,explorer86,170,154,29,995,
Beagle Point,Wongi,explorer,196,167,43,866,
Beagle Point,Wongi,mandalay,313,246,111,927,
Beagle Point,Wongi,explorer86,170,149,36,849,
Colonia,Spase AA-A a108-0,explorer,89,79,9,1074,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,12808,
Colonia,Spase AA-A a108-0,explorer86,84,76,10,1322,
Spase AA-A a108-0,Colonia,explorer,90,79,12,5393,
Spase AA-A a108-0,Colonia,mandalay,166,135,33,17552,
Spase AA-A a108-0,Colonia,explorer86,87,76,11,25251,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,30059,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,607,one basic injection
