# 2026-09-02 sweep6: honest cell-graph edge pricing by min star-pair (item 18d, commit 01c2ae6), BOTH directions; sidecars repriced
# machine: user PC (Win11), index: .data/galaxy (v3 + repriced agg/graph/alt sidecars)
# ships: explorer=Caspian MkII 77.81x6, mandalay=77.86x4, explorer86=Caspian eng. 86x6; budgets 30s (60s crossings); bench-default portfolio (app runs --thorough: Colonia->Spase E lands 91 j there vs 99 here)
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,256,
Wongi,Spase AA-A a108-0,mandalay,175,157,40,273,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,268,
Spase AA-A a108-0,Wongi,explorer,102,100,12,236,
Spase AA-A a108-0,Wongi,mandalay,168,159,36,460,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,356,
Sol,Byoomao AA-A c1,explorer,64,61,9,421,
Sol,Byoomao AA-A c1,mandalay,107,95,32,338,
Sol,Byoomao AA-A c1,explorer86,59,56,8,308,
Byoomao AA-A c1,Sol,explorer,62,61,5,715,
Byoomao AA-A c1,Sol,mandalay,106,98,20,763,
Byoomao AA-A c1,Sol,explorer86,58,56,7,680,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,424,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,63,57,11,301,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,2,540,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,309,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,65,56,12,307,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,342,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,193,
Wongi,Plielou RN-R d5-27,mandalay,62,50,19,261,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,221,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,296,
Plielou RN-R d5-27,Wongi,mandalay,66,54,14,475,
Plielou RN-R d5-27,Wongi,explorer86,33,28,3,295,
Wongi,Colonia,explorer,58,55,6,934,
Wongi,Colonia,mandalay,95,86,23,719,
Wongi,Colonia,explorer86,52,49,8,724,
Colonia,Wongi,explorer,55,54,11,742,
Colonia,Wongi,mandalay,91,85,18,491,
Colonia,Wongi,explorer86,49,48,5,779,
Sol,Sagittarius A*,explorer,71,67,6,513,
Sol,Sagittarius A*,mandalay,114,99,32,2897,
Sol,Sagittarius A*,explorer86,63,60,7,810,
Sagittarius A*,Sol,explorer,73,65,16,1240,
Sagittarius A*,Sol,mandalay,114,102,30,1121,
Sagittarius A*,Sol,explorer86,65,60,10,998,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,712,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,285,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,277,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,5,528,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,621,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,543,
Wongi,Beagle Point,explorer,215,169,61,60029,
Wongi,Beagle Point,mandalay,347,235,136,54920,
Wongi,Beagle Point,explorer86,183,149,43,1123,
Beagle Point,Wongi,explorer,196,167,43,717,
Beagle Point,Wongi,mandalay,325,254,107,845,
Beagle Point,Wongi,explorer86,171,148,37,709,
Colonia,Spase AA-A a108-0,explorer,99,84,9,963,
Colonia,Spase AA-A a108-0,mandalay,243,95,87,23201,
Colonia,Spase AA-A a108-0,explorer86,90,80,12,1153,
Spase AA-A a108-0,Colonia,explorer,101,90,14,2628,
Spase AA-A a108-0,Colonia,mandalay,227,98,65,29436,
Spase AA-A a108-0,Colonia,explorer86,94,85,6,40141,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,1074,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,602,one basic injection
