# 2026-09-02 sweep7: METHODOLOGY SWITCH to --thorough (the app's portfolio, user's call) + bidi starvation guard (ca7b24b), both directions
# machine: user PC (Win11), index: .data/galaxy (v3 + honest-priced sidecars)
# ships: explorer=Caspian MkII 77.81x6, mandalay=77.86x4, explorer86=Caspian eng. 86x6; budgets 30s (60s crossings); --thorough everywhere
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,398,
Wongi,Spase AA-A a108-0,mandalay,175,157,40,463,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,277,
Spase AA-A a108-0,Wongi,explorer,102,100,12,245,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,483,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,283,
Sol,Byoomao AA-A c1,explorer,66,63,8,368,
Sol,Byoomao AA-A c1,mandalay,108,95,31,522,
Sol,Byoomao AA-A c1,explorer86,59,56,8,419,
Byoomao AA-A c1,Sol,explorer,62,61,5,732,
Byoomao AA-A c1,Sol,mandalay,106,98,20,830,
Byoomao AA-A c1,Sol,explorer86,55,54,5,713,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,336,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,65,57,9,293,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,2,483,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,315,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,62,55,11,318,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,315,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,219,
Wongi,Plielou RN-R d5-27,mandalay,66,53,16,273,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,278,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,265,
Plielou RN-R d5-27,Wongi,mandalay,64,53,14,636,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,269,
Wongi,Colonia,explorer,58,55,6,982,
Wongi,Colonia,mandalay,93,84,23,900,
Wongi,Colonia,explorer86,52,49,8,890,
Colonia,Wongi,explorer,54,53,6,1126,
Colonia,Wongi,mandalay,91,85,18,878,
Colonia,Wongi,explorer86,49,48,5,981,
Sol,Sagittarius A*,explorer,69,64,7,1148,
Sol,Sagittarius A*,mandalay,114,99,32,5393,
Sol,Sagittarius A*,explorer86,63,60,7,960,
Sagittarius A*,Sol,explorer,75,66,13,2384,
Sagittarius A*,Sol,mandalay,112,100,28,1991,
Sagittarius A*,Sol,explorer86,64,59,9,1324,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,789,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,278,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,328,
Blaa Hypai AA-A a96-19,Wongi,explorer,37,35,4,211,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,668,
Blaa Hypai AA-A a96-19,Wongi,explorer86,33,32,4,212,
Wongi,Beagle Point,explorer,203,174,46,935,
Wongi,Beagle Point,mandalay,363,264,108,60028,
Wongi,Beagle Point,explorer86,170,154,29,1036,
Beagle Point,Wongi,explorer,196,167,43,861,
Beagle Point,Wongi,mandalay,313,246,111,877,
Beagle Point,Wongi,explorer86,170,149,36,871,
Colonia,Spase AA-A a108-0,explorer,91,80,11,1291,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,12899,
Colonia,Spase AA-A a108-0,explorer86,90,80,12,1424,
Spase AA-A a108-0,Colonia,explorer,108,93,11,3534,
Spase AA-A a108-0,Colonia,mandalay,164,127,29,25857,
Spase AA-A a108-0,Colonia,explorer86,105,88,17,2608,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,30065,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,612,one basic injection
