# 2026-09-02 sweep9: chain floor K_field 4 -> 2 default (knob-search verdict, f16a580), thorough, both directions
# machine: user PC (Win11), index: .data/galaxy (v3 + honest-priced sidecars)
# ships: explorer=Caspian MkII 77.81x6, mandalay=77.86x4, explorer86=Caspian eng. 86x6; budgets 30s (60s crossings); --thorough
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,102,98,10,260,
Wongi,Spase AA-A a108-0,mandalay,175,157,40,314,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,290,
Spase AA-A a108-0,Wongi,explorer,102,100,12,265,
Spase AA-A a108-0,Wongi,mandalay,166,159,36,478,
Spase AA-A a108-0,Wongi,explorer86,89,87,10,290,
Sol,Byoomao AA-A c1,explorer,66,63,8,393,
Sol,Byoomao AA-A c1,mandalay,108,95,31,384,
Sol,Byoomao AA-A c1,explorer86,59,56,8,415,
Byoomao AA-A c1,Sol,explorer,62,61,5,668,
Byoomao AA-A c1,Sol,mandalay,106,98,20,839,
Byoomao AA-A c1,Sol,explorer86,55,54,5,712,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,35,1,341,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,65,57,9,286,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,2,461,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,37,36,3,332,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,62,55,11,318,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,329,
Wongi,Plielou RN-R d5-27,explorer,37,33,6,216,
Wongi,Plielou RN-R d5-27,mandalay,66,53,16,241,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,256,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,272,
Plielou RN-R d5-27,Wongi,mandalay,64,53,14,618,
Plielou RN-R d5-27,Wongi,explorer86,31,29,3,243,
Wongi,Colonia,explorer,58,55,6,938,
Wongi,Colonia,mandalay,93,84,23,809,
Wongi,Colonia,explorer86,52,49,8,856,
Colonia,Wongi,explorer,54,53,6,1031,
Colonia,Wongi,mandalay,91,85,18,872,
Colonia,Wongi,explorer86,49,48,5,933,
Sol,Sagittarius A*,explorer,69,64,7,1109,
Sol,Sagittarius A*,mandalay,114,99,32,5996,
Sol,Sagittarius A*,explorer86,63,60,7,988,
Sagittarius A*,Sol,explorer,75,66,13,2203,
Sagittarius A*,Sol,mandalay,112,100,28,1984,
Sagittarius A*,Sol,explorer86,64,59,9,1363,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,777,
Wongi,Blaa Hypai AA-A a96-19,mandalay,61,50,18,271,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,328,
Blaa Hypai AA-A a96-19,Wongi,explorer,37,35,4,217,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,52,14,703,
Blaa Hypai AA-A a96-19,Wongi,explorer86,33,32,4,216,
Wongi,Beagle Point,explorer,203,174,46,951,
Wongi,Beagle Point,mandalay,363,264,108,60035,
Wongi,Beagle Point,explorer86,170,154,29,1002,
Beagle Point,Wongi,explorer,196,167,43,859,
Beagle Point,Wongi,mandalay,313,246,111,943,
Beagle Point,Wongi,explorer86,170,149,36,864,
Colonia,Spase AA-A a108-0,explorer,90,80,10,1111,
Colonia,Spase AA-A a108-0,mandalay,144,124,31,13046,
Colonia,Spase AA-A a108-0,explorer86,86,77,8,1337,
Spase AA-A a108-0,Colonia,explorer,94,81,10,1405,
Spase AA-A a108-0,Colonia,mandalay,166,135,33,17926,
Spase AA-A a108-0,Colonia,explorer86,87,76,11,27252,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,17,2,15,12085,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,607,one basic injection
