# 2026-09-03 sweep20: THE H0 ERA — fuel headroom default 10t -> 0 (item 31, maintainer-ordered post repeats gate; h2 = safe toggle via FuelModel.headroom_t). vs sweep19: 17 identical, 23 better (~-4,874 s), 16 worse (~+2,976 s), net ~-1,900 s; known blemish Colonia->Spase M +1,074 (the monster pair prefers h2, ledgered).
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,101,97,16,683,
Wongi,Spase AA-A a108-0,mandalay,171,159,38,972,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,424,
Spase AA-A a108-0,Wongi,explorer,102,100,13,348,
Spase AA-A a108-0,Wongi,mandalay,166,159,37,760,
Spase AA-A a108-0,Wongi,explorer86,90,88,10,372,
Sol,Byoomao AA-A c1,explorer,64,61,9,702,
Sol,Byoomao AA-A c1,mandalay,108,94,31,843,
Sol,Byoomao AA-A c1,explorer86,59,56,8,642,
Byoomao AA-A c1,Sol,explorer,62,61,5,812,
Byoomao AA-A c1,Sol,mandalay,100,93,27,1068,
Byoomao AA-A c1,Sol,explorer86,55,54,7,848,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,36,1,450,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,59,58,12,429,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,31,30,4,485,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,36,35,2,402,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,60,55,10,353,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,356,
Wongi,Plielou RN-R d5-27,explorer,37,33,7,324,
Wongi,Plielou RN-R d5-27,mandalay,59,51,18,397,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,330,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,314,
Plielou RN-R d5-27,Wongi,mandalay,59,49,16,669,
Plielou RN-R d5-27,Wongi,explorer86,31,28,6,278,
Wongi,Colonia,explorer,58,55,6,1033,
Wongi,Colonia,mandalay,93,83,24,1599,
Wongi,Colonia,explorer86,51,48,6,1098,
Colonia,Wongi,explorer,54,53,7,1121,
Colonia,Wongi,mandalay,86,80,23,1379,
Colonia,Wongi,explorer86,49,47,7,1191,
Sol,Sagittarius A*,explorer,67,64,5,954,
Sol,Sagittarius A*,mandalay,112,100,29,4355,
Sol,Sagittarius A*,explorer86,62,59,7,797,
Sagittarius A*,Sol,explorer,71,63,13,2859,
Sagittarius A*,Sol,mandalay,111,99,27,2389,
Sagittarius A*,Sol,explorer86,63,58,9,1369,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,824,
Wongi,Blaa Hypai AA-A a96-19,mandalay,59,51,17,316,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,332,
Blaa Hypai AA-A a96-19,Wongi,explorer,36,34,7,223,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,51,13,613,
Blaa Hypai AA-A a96-19,Wongi,explorer86,32,30,6,214,
Wongi,Beagle Point,explorer,191,167,44,18502,
Wongi,Beagle Point,mandalay,326,253,107,60048,
Wongi,Beagle Point,explorer86,170,154,29,1206,
Beagle Point,Wongi,explorer,195,165,45,993,
Beagle Point,Wongi,mandalay,312,247,109,1522,
Beagle Point,Wongi,explorer86,170,149,32,900,
Colonia,Spase AA-A a108-0,explorer,89,78,6,1164,
Colonia,Spase AA-A a108-0,mandalay,162,124,30,13846,
Colonia,Spase AA-A a108-0,explorer86,85,76,9,1364,
Spase AA-A a108-0,Colonia,explorer,88,79,10,5138,
Spase AA-A a108-0,Colonia,mandalay,166,127,33,19990,
Spase AA-A a108-0,Colonia,explorer86,86,75,15,28342,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,15,2,13,30064,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,658,one basic injection
