# 2026-09-03 sweep21: item-42 judge gate PASSED — unfitted judge = flat public model (60 s/jump + 120 s/stop, tonnage-blind; flight-validated 60/120 defaults). vs sweep20: 17 better / 2 worse / 37 same, net -1,860 flat s, wall +6.0 s total. Losses: Colonia->Spase M +660 (the ledgered monster pair re-rolling inside its known volatility), Spase->Colonia e86 +60 (knife-edge). Trade shape: stops sold for jumps at the 1:2 price the flat model sets.
route_from,route_to,ship,jumps,boosted,refuels,wall_ms,note
Wongi,Spase AA-A a108-0,explorer,101,97,16,1208,
Wongi,Spase AA-A a108-0,mandalay,171,159,38,1879,
Wongi,Spase AA-A a108-0,explorer86,92,89,9,629,
Spase AA-A a108-0,Wongi,explorer,103,101,12,597,
Spase AA-A a108-0,Wongi,mandalay,166,159,37,1173,
Spase AA-A a108-0,Wongi,explorer86,91,89,9,388,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer,37,36,1,465,
Pheia Auscs AA-A d0,Spase AA-A a108-0,mandalay,62,57,10,502,
Pheia Auscs AA-A d0,Spase AA-A a108-0,explorer86,33,32,1,540,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer,36,35,2,463,
Spase AA-A a108-0,Pheia Auscs AA-A d0,mandalay,60,55,10,375,
Spase AA-A a108-0,Pheia Auscs AA-A d0,explorer86,32,31,5,424,
Wongi,Colonia,explorer,58,55,6,1678,
Wongi,Colonia,mandalay,95,86,23,2625,
Wongi,Colonia,explorer86,52,49,5,1633,
Colonia,Wongi,explorer,54,53,7,1475,
Colonia,Wongi,mandalay,90,86,21,2089,
Colonia,Wongi,explorer86,50,47,5,1340,
Colonia,Spase AA-A a108-0,explorer,89,78,6,1430,
Colonia,Spase AA-A a108-0,mandalay,169,135,32,10900,
Colonia,Spase AA-A a108-0,explorer86,86,77,7,1594,
Spase AA-A a108-0,Colonia,explorer,88,79,10,5841,
Spase AA-A a108-0,Colonia,mandalay,166,127,33,21346,
Spase AA-A a108-0,Colonia,explorer86,89,75,14,27552,
Sol,Byoomao AA-A c1,explorer,66,63,7,693,
Sol,Byoomao AA-A c1,mandalay,108,94,31,655,
Sol,Byoomao AA-A c1,explorer86,59,56,8,527,
Byoomao AA-A c1,Sol,explorer,62,61,5,809,
Byoomao AA-A c1,Sol,mandalay,105,98,21,913,
Byoomao AA-A c1,Sol,explorer86,57,56,4,730,
Sol,Sagittarius A*,explorer,67,64,5,830,
Sol,Sagittarius A*,mandalay,112,100,29,4309,
Sol,Sagittarius A*,explorer86,62,59,7,864,
Sagittarius A*,Sol,explorer,71,63,13,2841,
Sagittarius A*,Sol,mandalay,111,99,27,2314,
Sagittarius A*,Sol,explorer86,64,59,8,1596,
Wongi,Blaa Hypai AA-A a96-19,explorer,38,34,5,831,
Wongi,Blaa Hypai AA-A a96-19,mandalay,59,51,17,375,
Wongi,Blaa Hypai AA-A a96-19,explorer86,33,30,4,383,
Blaa Hypai AA-A a96-19,Wongi,explorer,38,36,4,249,
Blaa Hypai AA-A a96-19,Wongi,mandalay,58,51,13,702,
Blaa Hypai AA-A a96-19,Wongi,explorer86,33,32,4,241,
Wongi,Plielou RN-R d5-27,explorer,37,33,7,453,
Wongi,Plielou RN-R d5-27,mandalay,60,51,17,463,
Wongi,Plielou RN-R d5-27,explorer86,33,30,4,348,
Plielou RN-R d5-27,Wongi,explorer,36,33,5,308,
Plielou RN-R d5-27,Wongi,mandalay,59,49,16,659,
Plielou RN-R d5-27,Wongi,explorer86,32,30,5,293,
Wongi,Beagle Point,explorer,193,167,41,19896,
Wongi,Beagle Point,mandalay,326,253,107,60051,
Wongi,Beagle Point,explorer86,170,154,29,1094,
Beagle Point,Wongi,explorer,197,168,43,967,
Beagle Point,Wongi,mandalay,312,247,109,1509,
Beagle Point,Wongi,explorer86,170,149,32,924,
Beagle Point,Oevasy CA-A d0,explorer,,,,,no route
Beagle Point,Oevasy CA-A d0,mandalay,,,,,no route (skipped: item-15 budget hole)
Beagle Point,Oevasy CA-A d0,explorer86,15,2,13,30063,one basic injection
Oevasy CA-A d0,Beagle Point,explorer,,,,,no route
Oevasy CA-A d0,Beagle Point,mandalay,,,,,no route (skipped: item-15 budget hole)
Oevasy CA-A d0,Beagle Point,explorer86,17,2,15,629,one basic injection
