# Printed-name exactness against EDCD FDevIDs (upstream c356129, 2026-09-05), measured 2026-09-20 with
# crates/ed-journal/tests/edcd_names.rs (EDDA_FDEVIDS=<dir> cargo test -p ed-journal --test edcd_names -- --ignored).
# Maintainer: "every ship name, every module name, every commodity, every material, every everything has a coded name
# and a printed name and we should be exact." Comparison: the name EDDA prints for each table's symbol vs the table's name
# (modules on the name part, since EDDA appends class/rating). VERDICT: materials 137/137 and commodities 270/270 exact;
# ships 39/48 (9 differ: EDCD writes "Cobra MkIII", EDDA "Cobra Mk III" — a spacing convention, the maintainer's call —
# and Lynx Highliner is unknown to EDDA); modules 1041/1236 (195 differ, grouped in the PR); rare commodities 0/142 —
# EDDA has no rare-commodity table at all. Fixes follow in their own PR once the convention is ruled.
table,symbol,edcd_name,edda_name,verdict
shipyard,Viper,Viper MkIII,Viper Mk III,differs
shipyard,CobraMkIII,Cobra MkIII,Cobra Mk III,differs
shipyard,Viper_MkIV,Viper MkIV,Viper Mk IV,differs
shipyard,CobraMkIV,Cobra MkIV,Cobra Mk IV,differs
shipyard,Krait_MkII,Krait MkII,Krait Mk II,differs
shipyard,Python_NX,Python MkII,Python Mk II,differs
shipyard,CobraMkV,Cobra MkV,Cobra Mk V,differs
shipyard,PantherMkII,Panther Clipper MkII,Panther Clipper Mk II,differs
shipyard,MediumTransport01,Lynx Highliner,Mediumtransport01,differs
outfitting,Hpt_BasicMissileRack_Fixed_Small,Seeker Missile Rack,Missile Rack (fixed; small),differs
outfitting,Hpt_BasicMissileRack_Fixed_Medium,Seeker Missile Rack,Missile Rack (fixed; medium),differs
outfitting,Hpt_BasicMissileRack_Fixed_Large,Seeker Missile Rack,Missile Rack (fixed; large),differs
outfitting,Hpt_CargoScanner_Size0_Class1,Cargo Scanner,Manifest Scanner,differs
outfitting,Hpt_CargoScanner_Size0_Class2,Cargo Scanner,Manifest Scanner,differs
outfitting,Hpt_CargoScanner_Size0_Class3,Cargo Scanner,Manifest Scanner,differs
outfitting,Hpt_CargoScanner_Size0_Class4,Cargo Scanner,Manifest Scanner,differs
outfitting,Hpt_CargoScanner_Size0_Class5,Cargo Scanner,Manifest Scanner,differs
outfitting,Int_StellarBodyDiscoveryScanner_Standard,Basic Discovery Scanner,Stellarbodydiscoveryscanner,differs
outfitting,Int_StellarBodyDiscoveryScanner_Intermediate,Intermediate Discovery Scanner,Stellarbodydiscoveryscanner,differs
outfitting,Int_StellarBodyDiscoveryScanner_Advanced,Advanced Discovery Scanner,Stellarbodydiscoveryscanner,differs
outfitting,Int_StellarBodyDiscoveryScanner_Standard_free,Basic Discovery Scanner,Stellarbodydiscoveryscanner,differs
outfitting,Int_ShieldGenerator_Size1_Class5_Strong,Prismatic Shield Generator,Shield Generator 1A,differs
outfitting,Int_ShieldGenerator_Size2_Class5_Strong,Prismatic Shield Generator,Shield Generator 2A,differs
outfitting,Int_ShieldGenerator_Size3_Class5_Strong,Prismatic Shield Generator,Shield Generator 3A,differs
outfitting,Int_ShieldGenerator_Size4_Class5_Strong,Prismatic Shield Generator,Shield Generator 4A,differs
outfitting,Int_ShieldGenerator_Size5_Class5_Strong,Prismatic Shield Generator,Shield Generator 5A,differs
