ship,journal_internal,coriolis_internal,internal_agree,journal_military,coriolis_military,journal_hardpoints,coriolis_hardpoints,hardpoints_fit,core_within_max,verdict
Asp Explorer,1:6/2:5/3:3/4:3/5:3/6:2/7:2/8:1,6/5/3/3/3/2/2/1,True,0,0,{"0": 2},{"2": 2; "1": 4; "0": 4},True,True,agree
Anaconda,1:7/2:6/3:6/4:6/5:5/6:5/7:5/8:4/9:4/10:4/13:2/14:1,7/6/6/6/5/5/5/4/4/4/2/1,False,1,1,{"4": 1; "3": 3; "2": 2; "1": 2; "0": 8},{"4": 1; "3": 3; "2": 2; "1": 2; "0": 8},True,True,DIFFER
Python,1:6/2:6/3:6/4:5/5:5/6:4/7:3/8:3/9:2/10:1,6/6/6/5/5/4/3/3/2/1,True,0,0,{"3": 3; "2": 2; "0": 4},{"3": 3; "2": 2; "0": 4},True,True,agree
Python Mk II,1:6/2:4/3:3/4:2/5:1/6:1,6/4/3/2/1/1,True,0,0,{"3": 4; "2": 2; "0": 6},{"3": 4; "2": 2; "0": 6},True,True,agree
Type-11 Prospector,1:6/2:6/3:6/4:5/5:5/6:4/7:3/8:2/9:1/10:1,6/6/6/5/5/4/3/2/1/1,True,0,0,{"2": 1; "1": 3; "0": 4},{"3": 1; "2": 3; "1": 4; "0": 4},True,True,agree
Panther Clipper Mk II,1:8/2:7/3:6/4:6/5:6/6:5/7:5/8:4/9:2/10:1,8/7/6/6/6/5/5/4/2/1,True,0,0,{"3": 2; "2": 4; "1": 4; "0": 6},{"3": 2; "2": 4; "1": 4; "0": 6},True,True,agree
Kestrel Mk II,1:5/2:4/3:3/4:2/5:2/6:2/7:1,5/4/3/2/2/2/1,True,1,1,{"3": 3; "1": 2; "0": 4},{"3": 3; "1": 2; "0": 4},True,True,agree
Mandalay,1:6/2:5/3:4/4:4/5:3/6:3/7:2/8:1/9:1/10:1,6/5/4/4/3/3/2/1/1/1,True,0,0,{"1": 1; "0": 3},{"2": 4; "1": 2; "0": 4},True,True,agree
Python Mk II,1:6/2:4/3:3/4:2/5:1/6:1,6/4/3/2/1/1,True,0,0,{"3": 4; "2": 2; "0": 6},{"3": 4; "2": 2; "0": 6},True,True,agree
Caspian Explorer,1:7/2:6/3:6/4:5/12:1/13:1/14:1,7/6/6/5/5/5/5/4/4/3/2/1/1/1,True,0,0,{},{"3": 1; "2": 6; "0": 6},True,True,agree
Krait Mk II,1:6/2:6/3:5/4:5/8:2/9:1,6/6/5/5/4/3/3/2/1,True,0,0,{"2": 2},{"3": 3; "2": 2; "0": 4},True,True,agree
Type-10 Defender,1:8/2:7/3:6/4:5/5:4/6:4/7:3/8:3/11:2/12:1,8/7/6/5/4/4/3/3/2/1,False,2,2,{"3": 4; "2": 3; "1": 2; "0": 8},{"3": 4; "2": 3; "1": 2; "0": 8},True,True,DIFFER
