# Pin: our slot table against the vendored Coriolis sizes (hardpoints, internal, military, core) and against the commander's own Loadouts (every fitted slot named in the table). Coriolis folds the Type-11's limpet/hangar slots and the Panther's cargo slots away; ours keeps them, so those two internal rows DIFFER by design.
check,ship,ours,reference,verdict
hardpoints,Adder,1/1/2,1/1/2,agree
internal,Adder,1/1/1/2/2/3/3,1/1/1/2/2/3/3,agree
military,Adder,,,agree
core,Adder,3/3/3/1/2/3/3,3/3/3/1/2/3/3,agree
hardpoints,Anaconda,1/1/2/2/3/3/3/4,1/1/2/2/3/3/3/4,agree
internal,Anaconda,1/2/4/4/4/5/5/5/6/6/6/7,1/2/4/4/4/5/5/5/6/6/6/7,agree
military,Anaconda,5,5,agree
core,Anaconda,8/7/6/5/8/8/5,8/7/6/5/8/8/5,agree
hardpoints,Asp Explorer,1/1/1/1/2/2,1/1/1/1/2/2,agree
internal,Asp Explorer,1/2/2/3/3/3/5/6,1/2/2/3/3/3/5/6,agree
military,Asp Explorer,,,agree
core,Asp Explorer,5/5/5/4/4/5/5,5/5/5/4/4/5/5,agree
hardpoints,Asp Scout,1/1/2/2,1/1/2/2,agree
internal,Asp Scout,1/2/2/3/3/4/5,1/2/2/3/3/4/5,agree
military,Asp Scout,,,agree
core,Asp Scout,4/4/4/3/4/4/4,4/4/4/3/4/4/4,agree
hardpoints,Beluga Liner,2/2/2/2/2,2/2/2/2/2,agree
internal,Beluga Liner,1/3/3/3/3/4/5/5/6/6/6/6,1/3/3/3/3/4/5/5/6/6/6/6,agree
military,Beluga Liner,,,agree
core,Beluga Liner,6/7/7/8/6/5/7,6/7/7/8/6/5/7,agree
hardpoints,Cobra Mk III,1/1/2/2,1/1/2/2,agree
internal,Cobra Mk III,1/1/2/2/2/4/4/4,1/1/2/2/2/4/4/4,agree
military,Cobra Mk III,,,agree
core,Cobra Mk III,4/4/4/3/3/3/4,4/4/4/3/3/3/4,agree
hardpoints,Cobra Mk IV,1/1/1/2/2,1/1/1/2/2,agree
internal,Cobra Mk IV,1/1/2/2/3/3/4/4/4/4,1/1/2/2/3/3/4/4/4/4,agree
military,Cobra Mk IV,,,agree
core,Cobra Mk IV,4/4/4/3/3/3/4,4/4/4/3/3/3/4,agree
hardpoints,Cobra Mk V,1/1/2/2/2,1/1/2/2/2,agree
internal,Cobra Mk V,1/2/3/3/3/4/4/4/5,1/2/3/3/3/4/4/4/5,agree
military,Cobra Mk V,,,agree
core,Cobra Mk V,4/4/4/3/4/3/4,4/4/4/3/4/3/4,agree
hardpoints,Corsair,2/2/2/3/3/3,2/2/2/3/3/3,agree
internal,Corsair,1/2/3/4/5/5/5/6/6/6,1/2/3/4/5/5/5/6/6/6,agree
military,Corsair,,,agree
core,Corsair,7/7/5/4/7/6/5,7/7/5/4/7/6/5,agree
hardpoints,Imperial Cutter,2/2/2/2/3/3/4,2/2/2/2/3/3/4,agree
internal,Imperial Cutter,1/3/4/5/5/6/6/6/8/8,1/3/4/5/5/6/6/6/8/8,agree
military,Imperial Cutter,5/5,5/5,agree
core,Imperial Cutter,8/8/7/7/7/7/6,8/8/7/7/7/7/6,agree
hardpoints,Diamondback Scout,1/1/2/2,1/1/2/2,agree
internal,Diamondback Scout,1/1/2/3/3/3,1/1/2/3/3/3,agree
military,Diamondback Scout,,,agree
core,Diamondback Scout,4/4/4/2/3/2/4,4/4/4/2/3/2/4,agree
hardpoints,Diamondback Explorer,2/2/3,2/2/3,agree
internal,Diamondback Explorer,1/1/2/2/3/3/4/4,1/1/2/2/3/3/4/4,agree
military,Diamondback Explorer,,,agree
core,Diamondback Explorer,4/4/5/3/4/3/5,4/4/5/3/4/3/5,agree
hardpoints,Dolphin,1/1,1/1,agree
internal,Dolphin,1/1/2/2/2/3/4/4/5,1/1/2/2/2/3/4/4/5,agree
military,Dolphin,,,agree
core,Dolphin,4/5/4/4/3/3/4,4/5/4/4/3/3/4,agree
hardpoints,Eagle,1/1/1,1/1/1,agree
internal,Eagle,1/1/1/1/2/3,1/1/1/1/2/3,agree
military,Eagle,2,2,agree
core,Eagle,2/3/3/1/2/2/2,2/3/3/1/2/2/2,agree
hardpoints,Imperial Courier,2/2/2,2/2/2,agree
internal,Imperial Courier,1/1/1/2/2/2/3/3,1/1/1/2/2/2/3/3,agree
military,Imperial Courier,,,agree
core,Imperial Courier,4/3/3/1/3/2/3,4/3/3/1/3/2/3,agree
hardpoints,Imperial Eagle,1/1/2,1/1/2,agree
internal,Imperial Eagle,1/1/1/1/2/3,1/1/1/1/2/3,agree
military,Imperial Eagle,2,2,agree
core,Imperial Eagle,3/3/3/1/2/2/2,3/3/3/1/2/2/2,agree
hardpoints,Imperial Clipper,2/2/3/3,2/2/3/3,agree
internal,Imperial Clipper,1/2/2/3/3/4/4/6/7,1/2/2/3/3/4/4/6/7,agree
military,Imperial Clipper,,,agree
core,Imperial Clipper,6/6/5/5/6/5/4,6/6/5/5/6/5/4,agree
hardpoints,Caspian Explorer,2/2/2/2/2/2/3,2/2/2/2/2/2/3,agree
internal,Caspian Explorer,1/1/1/2/3/4/4/5/5/5/5/6/6/7,1/1/1/2/3/4/4/5/5/5/5/6/6/7,agree
military,Caspian Explorer,,,agree
core,Caspian Explorer,8/7/8/5/7/8/7,8/7/8/5/7/8/7,agree
hardpoints,Federal Corvette,1/1/2/2/3/4/4,1/1/2/2/3/4/4,agree
internal,Federal Corvette,1/3/4/4/5/5/6/6/7/7/7,1/3/4/4/5/5/6/6/7/7/7,agree
military,Federal Corvette,5/5,5/5,agree
core,Federal Corvette,8/7/6/5/8/8/5,8/7/6/5/8/8/5,agree
hardpoints,Federal Dropship,2/2/2/2/3,2/2/2/2/3,agree
internal,Federal Dropship,1/2/3/3/4/5/5/6,1/2/3/3/4/5/5/6,agree
military,Federal Dropship,4/4,4/4,agree
core,Federal Dropship,6/6/5/5/6/4/4,6/6/5/5/6/4/4,agree
hardpoints,Federal Assault Ship,2/2/3/3,2/2/3/3,agree
internal,Federal Assault Ship,1/2/2/3/4/5/5,1/2/2/3/4/5/5,agree
military,Federal Assault Ship,4/4,4/4,agree
core,Federal Assault Ship,6/6/5/5/6/4/4,6/6/5/5/6/4/4,agree
hardpoints,Federal Gunship,1/1/2/2/2/2/3,1/1/2/2/2/2/3,agree
internal,Federal Gunship,1/2/2/5/6/6,1/2/2/5/6/6,agree
military,Federal Gunship,4/4/4,4/4/4,agree
core,Federal Gunship,6/6/5/5/7/5/4,6/6/5/5/7/5/4,agree
hardpoints,Fer-de-Lance,2/2/2/2/4,2/2/2/2/4,agree
internal,Fer-de-Lance,1/1/2/4/4/5,1/1/2/4/4/5,agree
military,Fer-de-Lance,,,agree
core,Fer-de-Lance,6/5/4/4/6/4/3,6/5/4/4/6/4/3,agree
hardpoints,Hauler,1,1,agree
internal,Hauler,1/1/1/2/3/3,1/1/1/2/3/3,agree
military,Hauler,,,agree
core,Hauler,2/2/2/1/1/1/2,2/2/2/1/1/1/2,agree
hardpoints,Keelback,1/1/2/2,1/1/2/2,agree
internal,Keelback,1/2/2/3/4/5/5,1/2/2/3/4/5/5,agree
military,Keelback,,,agree
core,Keelback,4/4/4/1/3/2/4,4/4/4/1/3/2/4,agree
hardpoints,Krait Phantom,2/2/3/3,2/2/3/3,agree
internal,Krait Phantom,1/2/3/3/3/5/5/5/6,1/2/3/3/3/5/5/5/6,agree
military,Krait Phantom,,,agree
core,Krait Phantom,7/6/5/4/7/6/5,7/6/5/4/7/6/5,agree
hardpoints,Krait Mk II,2/2/3/3/3,2/2/3/3/3,agree
internal,Krait Mk II,1/2/3/3/4/5/5/6/6,1/2/3/3/4/5/5/6/6,agree
military,Krait Mk II,,,agree
core,Krait Mk II,7/6/5/4/7/6/5,7/6/5/4/7/6/5,agree
hardpoints,Type-11 Prospector,1/1/1/1/2/2/2/3,1/1/1/1/2/2/2/3,agree
internal,Type-11 Prospector,1/1/2/3/4/5/5/5/5/6/6/6,1/1/2/3/4/5/5/6/6/6,DIFFER
military,Type-11 Prospector,,,agree
core,Type-11 Prospector,6/5/5/3/7/3/5,6/5/5/3/7/3/5,agree
hardpoints,Mamba,1/1/3/3/4,1/1/3/3/4,agree
internal,Mamba,1/2/2/3/4/5,1/2/2/3/4/5,agree
military,Mamba,,,agree
core,Mamba,6/5/4/4/6/4/3,6/5/4/4/6/4/3,agree
hardpoints,Mandalay,1/1/2/2/2/2,1/1/2/2/2/2,agree
internal,Mandalay,1/1/1/2/3/3/4/4/5/6,1/1/1/2/3/3/4/4/5/6,agree
military,Mandalay,,,agree
core,Mandalay,5/5/5/4/5/5/5,5/5/5/4/5/5/5,agree
coriolis,Lynx Highliner,,,no Coriolis data
hardpoints,Orca,2/2/3,2/2/3,agree
internal,Orca,1/2/2/3/4/5/5/5/6,1/2/2/3/4/5/5/5/6,agree
military,Orca,,,agree
core,Orca,5/6/5/6/5/4/5,5/6/5/6/5/4/5,agree
hardpoints,Panther Clipper Mk II,1/1/1/1/2/2/2/2/3/3,1/1/1/1/2/2/2/2/3/3,agree
internal,Panther Clipper Mk II,1/2/4/5/5/6/6/6/7/7/8/8,1/2/4/5/5/6/6/6/7/8,DIFFER
military,Panther Clipper Mk II,,,agree
core,Panther Clipper Mk II,8/8/7/5/7/5/7,8/8/7/5/7/5/7,agree
hardpoints,Python,2/2/3/3/3,2/2/3/3/3,agree
internal,Python,1/2/3/3/4/5/5/6/6/6,1/2/3/3/4/5/5/6/6/6,agree
military,Python,,,agree
