# api-load-rotate COMBINED run, the assistant's half (2026-09-07 07:56:00Z start, e1cf603), from a Mac (~185 ms RTT inside every
# client-side number). the assistant's half (-waldorf.csv) ran from WSL at the same second: 2 machines × c = 8 / 32 / 100 in
# flight. Same binary/pool/index/limiter state as that file's header; same reading rules (codes column; plot gate 2+8;
# trade gate 1; route_long 422s = stale harness name). Server-side over the window 07:56–08:10Z (box histograms):
#   names/complete 21,211 × 200, p50 1 ms, p95 1 ms, p99 2 ms | knowledge/system 20,950, p95 4 ms | market/search 15,669,
#   p50 63 ms, p95 251 ms, p99 402 ms | trade/search 337 × 200, p50 11.9 s, p95 28.2 s (one runner) | route 1,945 × 200
#   (the rest 503), p95 25 ms, p99 881 ms | peak CPU busy 99.5 % | EDDN batch-apply p95 79 ms (59 before the index), queue 0.
# VERDICT: see -waldorf.csv; the two files agree rung for rung.
route,concurrency,requests,rps,p50_ms,p95_ms,p99_ms,http_2xx,http_429,http_5xx,http_other,transport_errors,codes
names_complete_rotating,4,535,17.7,197.1,332.4,394.0,535,0,0,0,0,200:535
knowledge_system_rotating,4,452,15.03,243.0,338.0,468.9,452,0,0,0,0,200:452
market_search_rotating,4,433,14.37,259.4,377.0,762.4,433,0,0,0,0,200:433
trade_search_rotating,4,60,1.83,2268.8,3461.7,4150.5,60,0,0,0,0,200:60
route_bubble_rotating,4,249,8.06,431.9,930.0,1594.6,249,0,0,0,0,200:249
route_long_rotating,4,19,0.51,7832.5,15078.5,15078.5,19,0,0,0,0,200:19
names_complete_rotating,16,2441,80.92,194.0,204.2,220.5,2441,0,0,0,0,200:2441
knowledge_system_rotating,16,2417,80.09,195.8,206.4,228.3,2417,0,0,0,0,200:2417
market_search_rotating,16,1955,64.61,236.2,295.4,346.9,1954,0,0,1,0,200:1954;404:1
trade_search_rotating,16,68,1.71,8517.1,12789.1,13184.1,68,0,0,0,0,200:68
route_bubble_rotating,16,1720,55.59,195.9,896.1,1208.8,336,0,1384,0,0,200:336;503:1384
route_long_rotating,16,2329,27.17,197.2,208.9,247.8,1,0,2325,0,3,0:3;200:1;503:2325
names_complete_rotating,50,7485,247.83,197.5,207.7,218.1,7485,0,0,0,0,200:7485
knowledge_system_rotating,50,7367,243.98,199.7,212.7,243.2,7367,0,0,0,0,200:7367
market_search_rotating,50,5408,178.93,252.4,424.2,652.1,5405,0,0,3,0,200:5405;404:3
trade_search_rotating,50,132,3.29,15208.2,15649.0,16052.7,48,84,0,0,0,200:48;429:84
route_bubble_rotating,50,6623,96.13,199.7,213.4,747.7,255,0,6368,0,0,200:255;503:6368
route_long_rotating,50,5966,70.57,197.6,208.4,382.8,27,0,5937,0,2,0:2;200:27;503:5937
