# Elasticity study, palladium, Bondar Landing (Scorpii Sector IH-V b2-2) -> Metz Enterprise (Ega),
# 2026-09-04, 6 h board watch (docs/benches/knobs/board_watch.sh).
# FINAL VERDICT: ZERO price elasticity at both endpoints through the COMPLETE supply lifecycle.
# Bondar: 76,977 t at capture start, stripped to 12 t in ~90 min (fleet-wide drain ~570 t/min at
# peak; individual 1,008 t loads moved at identical prices), buy price 48,295 unmoved
# through full stock, exhaustion, and the measured RESTOCK TRICKLE (~50 t/h: 12->35->59->90->143),
# which lurking traders sniped as it dripped (143->15 in 20 min). Metz: sell 302,136 constant,
# demand pinned at the 999,999 display cap in every reading but ONE - 998,831 at 21:09:04Z,
# re-pinned within 5 min: true demand sits just above 1M and regenerates in minutes (capped =
# censored; that single blink is the only uncensored point). IMPLICATION for the finder: FDev's
# economy adjusts QUANTITY, never price (within this demand-spike state - generalization needs
# more commodities/states, see the ledger candidate): supply staleness is the real risk, price
# staleness is minor - prefer deep wells over marginal price edges, surface depth and age.
#
# section=boards (EDDN via sizing DB, one row per observed_at change)
captured_at,station_id,station,sell_price,demand,buy_price,supply,observed_at
2026-09-04T16:08:39Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:08:34Z
2026-09-04T16:08:39Z,4285245187,Bondar Landing,47280,1,48295,76977,2026-09-04T16:07:52Z
2026-09-04T16:09:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:08:56Z
2026-09-04T16:09:02Z,4285245187,Bondar Landing,47280,1,48295,76977,2026-09-04T16:08:53Z
2026-09-04T16:14:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:13:57Z
2026-09-04T16:14:02Z,4285245187,Bondar Landing,47280,1,48295,71301,2026-09-04T16:13:56Z
2026-09-04T16:19:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:18:58Z
2026-09-04T16:24:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:24:00Z
2026-09-04T16:24:02Z,4285245187,Bondar Landing,47280,1,48295,67617,2026-09-04T16:22:49Z
2026-09-04T16:29:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:28:45Z
2026-09-04T16:29:02Z,4285245187,Bondar Landing,47280,1,48295,57946,2026-09-04T16:28:48Z
2026-09-04T16:34:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:33:57Z
2026-09-04T16:34:02Z,4285245187,Bondar Landing,47280,1,48295,56810,2026-09-04T16:29:48Z
2026-09-04T16:39:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:38:55Z
2026-09-04T16:39:02Z,4285245187,Bondar Landing,47280,1,48295,48036,2026-09-04T16:37:02Z
