
== beagle-m ==
bucket                                         e1-pre-goal-field    e2-seconds-judging   e3-offramp-wavecost               e4-head
coarse scan (for_each_within/cell walk)                    29.0%                 33.2%                 32.4%                 32.4%
goal field build (Dijkstra)                                 0.0%                  0.0%                  0.0%                  0.0%
cell graph / min_pair                                       0.0%                  0.0%                  0.0%                  0.0%
coarse relax + heap                                        36.3%                 41.5%                 41.0%                 41.0%
bidi                                                        6.4%                  0.1%                  0.7%                  0.8%
leg refine (exact planner)                                  0.1%                  0.1%                  0.2%                  0.2%
fuel model                                                  4.9%                  5.9%                  5.8%                  5.7%
dist / math                                                 0.4%                  0.5%                  0.6%                  0.6%
alloc                                                      12.6%                 15.4%                 14.2%                 14.2%
hashmap                                                    12.6%                 15.4%                 14.2%                 14.2%

== cs-back-e ==
bucket                                         e1-pre-goal-field    e2-seconds-judging   e3-offramp-wavecost               e4-head
coarse scan (for_each_within/cell walk)                    23.7%                 29.0%                 29.7%                 30.0%
goal field build (Dijkstra)                                 0.4%                  1.6%                  0.4%                  0.4%
cell graph / min_pair                                       0.4%                  1.6%                  0.4%                  0.4%
coarse relax + heap                                        33.8%                 39.4%                 44.5%                 44.7%
bidi                                                        6.2%                  2.4%                  1.1%                  1.1%
leg refine (exact planner)                                  0.2%                  0.1%                  0.2%                  0.1%
fuel model                                                  3.5%                  4.0%                  4.0%                  4.1%
dist / math                                                 0.3%                  0.3%                  0.4%                  0.4%
alloc                                                      17.4%                 18.7%                 20.5%                 20.5%
hashmap                                                    17.4%                 18.7%                 20.5%                 20.5%

== sol-e ==
bucket                                         e1-pre-goal-field    e2-seconds-judging   e3-offramp-wavecost               e4-head
coarse scan (for_each_within/cell walk)                    10.2%                 11.4%                 10.5%                 10.7%
goal field build (Dijkstra)                                 0.0%                  0.0%                  0.0%                  0.0%
cell graph / min_pair                                       1.1%                  0.9%                  1.1%                  1.1%
coarse relax + heap                                        34.8%                 33.9%                 37.7%                 37.9%
bidi                                                        4.0%                  4.5%                 10.2%                 10.2%
leg refine (exact planner)                                  0.4%                  0.3%                  1.2%                  0.9%
fuel model                                                  3.2%                  3.0%                  2.5%                  2.7%
dist / math                                                 0.9%                  0.4%                  0.3%                  0.3%
alloc                                                      17.1%                 15.6%                 18.4%                 18.7%
hashmap                                                    17.1%                 15.6%                 18.4%                 18.7%
