trial,pilot_s,B_meet_settle,B_offset,B_ratio,C_band,C_cap,C_growth,C_on,C_theta1,K_field,K_floor
0,45186.0,800,64,3,0.8,8,1.5,True,10.0,4,512
1,44171.8,713,172,8,,,,False,,9,
2,45880.3,1936,42,3,,,,False,,16,
3,45234.6,2712,28,3,0.8669345368171739,15,1.4341591020793216,True,14.640877549541038,9,436
4,45239.6,2094,22,3,,,,False,,13,
5,45032.5,1332,101,4,0.8011320553086008,5,1.961757303213692,True,22.669552859602852,9,95
6,46077.8,837,28,1,,,,False,,10,
7,43844.4,401,72,1,,,,False,,2,
8,46234.2,915,66,5,0.9243616570331085,9,1.0360936037894046,True,6.262834777774014,7,103
9,44868.7,2364,133,3,0.7589401959817677,20,1.6137025212020417,True,19.98679955781065,2,693
10,46555.4,231,17,8,,,,False,,16,
11,44168.0,359,238,8,,,,False,,5,
12,44321.4,350,227,6,,,,False,,4,
13,43841.2,402,89,1,,,,False,,2,
14,43845.5,448,86,1,,,,False,,2,
15,44946.0,513,50,1,,,,False,,2,
16,44167.4,225,112,2,,,,False,,5,
17,45612.1,314,69,2,,,,False,,6,
18,45346.1,512,155,2,,,,False,,3,
19,46552.3,636,43,1,,,,False,,7,
20,45426.9,1117,87,2,,,,False,,4,
21,43841.2,458,81,1,,,,False,,2,
22,43839.9,288,54,1,,,,False,,2,
23,43960.3,275,52,2,,,,False,,3,
24,43965.0,206,37,1,,,,False,,3,
25,44169.0,289,115,2,,,,False,,5,
26,44906.8,603,88,1,0.5184483234922725,4,1.0073785586290267,True,16.20996463067081,3,3451
27,43841.3,456,57,4,,,,False,,2,
28,45609.3,274,33,2,,,,False,,6,
29,44324.6,563,81,4,0.5475537881211883,11,1.9595421350045141,True,24.735455712388948,4,3994
30,43961.9,373,59,1,,,,False,,3,
31,43840.3,431,56,6,,,,False,,2,
32,43839.8,447,50,7,,,,False,,2,
33,44322.7,726,44,7,,,,False,,4,
34,44762.3,338,49,7,,,,False,,3,
35,44321.4,431,36,6,,,,False,,4,
36,43839.2,251,29,7,,,,False,,2,
37,44048.2,242,25,7,0.6594432902845047,23,1.276219299959169,True,5.367639014620316,5,1432
38,46389.9,261,31,6,,,,False,,14,
39,44764.6,320,20,5,,,,False,,3,
40,44612.1,206,25,7,0.6372273502927531,6,1.7517574154081368,True,12.910731676569743,12,216
41,43844.4,394,39,8,,,,False,,2,
